Guid,AccountId,LastName,FirstName,Salutation,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,EmailBouncedReason,EmailBouncedDate,Jigsaw
47ab8a8c-bb24-49f0-b279-0a12280cf4bf,8c7bc21e-ce30-487f-9c9c-e05f8dc109dd,Bradford,Karly,#N/A,#N/A,San Jose,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5565 Maple Wood Street,#N/A,CA,95113,USA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5da687dc-29b7-4fb5-a2c8-68e9aacd088f,9f48e195-10cf-46c5-a116-3598874d495b,Dallas,Laverna,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,32 Railway Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4061,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
a7400b75-9d38-422d-8546-b794dfd1ff8a,02fbb698-e655-4f56-8006-d0a1c122ed05,Hiram,Anita,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14 Ross Road,Marple,#N/A,SK6 4HJ,UK,#N/A,#N/A,#N/A,89 0017 4455,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8883d281-2407-4918-855e-effcf1298cef,1f8e85eb-d58d-48a5-b934-b013131ffe53,Tommie,Garnette,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+44 20 5678 9892,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,Salesforce Administrator,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9af1f7e9-efe7-41f0-bdd4-b8482fed819a,d53e7f1f-d7df-48ca-9939-ca2903e63dc2,Fee,Nert,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(440)475-1490,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
761bd7b5-8e04-425a-a953-88d7b77990b2,d6cd5a4f-4f8b-4279-ab65-5c0c59100b6a,Kevin,Goldia,#N/A,57 Clifton Dr,Bacchus Marsh,VIC,3340,Australia,#N/A,#N/A,#N/A,57 Clifton Dr,Bacchus Marsh,VIC,3340,Australia,#N/A,#N/A,#N/A,(03) 6944 8811,(03) 6944 8811,0415 401 790,#N/A,#N/A,(03) 6944 8811,nitish.madan@nagarro.com,General Counsel,Legal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
862d030c-3a01-458a-9edd-85e5eb8e1eb1,437df295-8391-422c-b5fe-73dd46f186f5,Aurthur,Edith,#N/A,#N/A,#N/A,#N/A,2347,#N/A,#N/A,#N/A,#N/A,32 Railway Street,CARODA,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3935,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
58cacbaf-faae-49c1-bf1e-5ea9da3e7731,9fec2ae2-884c-41ed-b781-466550bbd0b1,Mannie,Christan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1 Met Life Stadium Drive,East Rutherford,NJ,7073,USA,#N/A,#N/A,#N/A,(753) 983-6203,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CFO,#N/A,#N/A,#N/A,#N/A,"Kevin J. Mitchell is executive vice president, Finance, and chief financial officer for Phillips 66, a diversified energy manufacturing and logistics company. Reporting to the chairman and CEO, Mitchell leads the company’s treasury, accounting, auditing, tax and information technology operations.",#N/A,#N/A,#N/A
035544e5-bda4-494b-9d91-22bac90f8e05,1d517951-1275-4586-b550-b766c77902b3,Tris,Kailey,#N/A,16 Hinterland Cr,Algester,QLD,4115,Australia,#N/A,#N/A,#N/A,16 Hinterland Cr,Algester,QLD,4115,Australia,#N/A,#N/A,#N/A,(07) 7004 7881,(07) 7004 7881,0424 175 439,#N/A,#N/A,(07) 7004 7881,nitish.madan@nagarro.com,Account Executive,Sales,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
b7b89d4b-d739-4098-a262-2d8a33a40d8d,d6cd5a4f-4f8b-4279-ab65-5c0c59100b6a,Brannon,Valentia,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 3931,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
80b0bb12-1668-4c3a-ab93-d497b4e03bef,8d0d2c49-a193-46cf-967a-e18d931e6bf3,Gaspar,Ethel,#N/A,390 Interlocken Crescent #500,Broomfield,CO,80021,USA,#N/A,#N/A,#N/A,555 Corporate Ave.,San Francisco,CA,94105,USA,#N/A,#N/A,#N/A,(974) 230-5869,(303) 234-5678,(303) 123-4567,(555) 666-8888,#N/A,123 098 7654,nitish.madan@nagarro.com,SVP and CFO,Manufacturing - Floor,Jenny Smith,#N/A,#N/A,"Mr. Griffith is senior vice president and chief financial officer of Marathon Petroleum Corporation. He is a member of the boards of directors of MPLX GP LLC and the Marathon Center for the Performing Arts, where he serves on the finance committee. Mr. Griffith is chair of the investment committee for the Boy Scouts of America Black Swamp Council and treasurer of Berry Boy Scouts Inc.",#N/A,#N/A,#N/A
0d15f8c1-744d-48b9-b57d-226032f385f3,11d346f5-d91c-438b-a9d8-dd1efc12a83d,Hayward,Naomi,#N/A,350 Collins Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,350 Collins Street,Melbourne,VIC,3000,Australia,#N/A,#N/A,#N/A,(03) 7879 6956,(03) 7879 6956,0417 640 363,#N/A,#N/A,(03) 7879 6956,nitish.madan@nagarro.com,Administrative Assistant,Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3090b450-9ac5-48ae-89af-66a5f2991b0d,62daecfe-8728-4927-8172-ff7de796551c,Arnaldo,Bebe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(633) 909-9477,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,"Indra Nooyi is Chairman and Chief Executive Officer of PepsiCo. In its global food and beverage portfolio, PepsiCo has 22 brands that generate more than $1 billion each in annual retail sales. PepsiCo’s main businesses include Quaker, Tropicana, Gatorade, Frito-Lay and Pepsi-Cola.",#N/A,#N/A,#N/A
58a8b6a0-6f22-4eb5-bbd5-2f7531c4155f,e0577c6e-7466-47d9-9393-1eecd5db9c30,Seth,Vanya,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(650) 111-3465,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,Director,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
dc812926-1300-4725-b03d-425befd13e8c,05ee173f-75d0-4368-a2c9-c5a22da7e476,Chalmers,Masha,#N/A,550 Roma St,Brisbane,QLD,4000,Australia,#N/A,#N/A,#N/A,550 Roma St,Brisbane,QLD,4000,Australia,#N/A,#N/A,#N/A,(07) 7158 7469,(07) 7158 7469,0415 237 235,#N/A,#N/A,(07) 7158 7469,nitish.madan@nagarro.com,Director of Operations,Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56c4c1b2-7bee-426a-866f-ae03480242b5,1303adb4-87fc-47ff-93de-6d489aa30988,Erick,Christabella,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14 Ross Road,Marple,#N/A,SK6 4HJ,UK,#N/A,#N/A,#N/A,80 0017 4455,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6538c46f-a9f6-4b5d-b307-c65bc7cdafb1,bf2c0e9d-652b-40cb-b120-453881337368,Neddy,Latrena,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(804) 805-3806,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,"Umpleby joined Solar Turbines Incorporated in San Diego, California as an associate engineer in 1980.  Solar Turbines is a wholly owned Caterpillar subsidiary and a leading manufacturer of industrial gas turbine systems.",#N/A,#N/A,#N/A
9bee1b3a-d1f4-4ac5-a97c-7276c99e5740,8cc6be39-02de-4554-9f76-cb3a8966759a,Bryn,Glynnis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(202) 409-1770,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,"Executive Vice President, Deputy Group General Counsel",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
727d305a-fbae-41bb-9152-16c2811fd6cc,2c76af4a-bec1-44da-999a-3610507f3429,Glenden,Rosmunda,#N/A,#N/A,#N/A,#N/A,2347,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,CARODA,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4041,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6b6e3446-a6d7-4972-b954-8bd3e23108de,ad96271e-8a27-4acd-a620-c263e3965409,Raffaello,Corene,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+33 0 1 42 14 20 00,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,COO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
cf336901-1bf2-4fd8-9e78-23a59fac6ae8,4a475c85-1ac9-4a45-91c8-41a5ab06c663,Umberto,Giuditta,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,26 Dalgarno Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4023,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1572d50c-046b-416b-b291-f32fea8e6ba9,cb161bba-7058-48dc-9d98-662858282bbf,Louis,Tory,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,202-555-0103,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,SVP - Global Marketing,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6022e354-133f-4025-aa6a-00bbbb6559a1,b7514256-f9d9-4c0c-8305-6245fe192f18,Curr,Cathy,#N/A,86 Altona St,Kensington,VIC,3031,Australia,#N/A,#N/A,#N/A,86 Altona St,Kensington,VIC,3031,Australia,#N/A,#N/A,#N/A,(03) 8532 7526,(03) 8532 7526,0416 785 676,#N/A,#N/A,(03) 8532 7526,nitish.madan@nagarro.com,"Manager, Information Technology",IT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11267c51-db49-4352-93a9-a8af2274b2e6,05ee173f-75d0-4368-a2c9-c5a22da7e476,Ransell,Rosalynd,#N/A,#N/A,#N/A,#N/A,2347,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,CARODA,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4006,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
b54a5443-b4fe-4e0a-a472-c65adb768ecd,e34ef005-0cd8-4a93-a6bb-0f30f0aa1503,Sterling,Courtenay,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,201 Sussex Street,Sydney,NSW,2000,Australia,#N/A,#N/A,#N/A,(581) 384-1645,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,COO,#N/A,#N/A,#N/A,#N/A,"Xuong Nguyen was appointed as Chief Operating Officer of the Company in October 2015. Prior to that he served as Executive Vice President of the FCM Division of INTL FCStone Financial Inc., a subsidiary of the Company, as well as Chief Operating Officer of additional subsidiaries of the Company.",#N/A,#N/A,#N/A
c8886848-9c11-4ed1-bfd8-ea815d117683,d68e6e79-4477-4a16-9321-79fde84c4200,Elisha,Marie-Ann,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(270) 251-2235,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,"Chairman and Chief Executive Officer, American Express Company, April 2001 to present. Mr. Chenault joined American Express in 1981 and was named President of the U.S. division of American Express Travel Related Services Company, Inc. in 1993, Vice Chairman of American Express Company in 1995, President and Chief Operating Officer in 1997 and Chief Executive Officer in January 2001.",#N/A,#N/A,#N/A
49d016b9-a7ca-42c3-ab8f-c9d5821d12a2,e8cc936f-b48f-42c5-be05-df861809c1dd,Graehme,Ursa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1265 Lombardi Avenue,Green Bay,WI,54304,USA,#N/A,#N/A,#N/A,(119) 165-0834,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,EVP and General Counsel,#N/A,#N/A,#N/A,#N/A,"Previously, Donofrio was vice president, secretary and general counsel of Mars, Incorporated. Prior to Mars, Donofrio held the general counsel and secretary role at the Shaw Group, Inc. and Visteon Inc.",#N/A,#N/A,#N/A
48743298-a86c-403d-b185-6af7362fc7aa,229a0aea-c979-4c06-92cd-8677e7bd6316,Pryce,Edee,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(312)659-4516,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CSO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
fcb62679-46b2-4fd7-b948-af7901d9ce6d,8cc6be39-02de-4554-9f76-cb3a8966759a,Kristo,Maible,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1 Arrowhead Drive,Kansas City,MO,64129,USA,#N/A,#N/A,#N/A,(585) 492-7409,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,Executive Chairman,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ea09c9f4-8dd4-48dd-8fe1-1d4089d1fb0e,9fd95f56-37bd-4036-bc0e-e8d5f06cac41,Batholomew,Nisse,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(402)952-5051,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
b2a965d6-7d08-44f9-9257-8eda5e6c2584,e9e29c84-f852-4a6a-9703-3a57523806d1,Abraham,Genevra,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,88 Bailey Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4075,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,SVP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
eb2a81db-b355-4b8c-b73f-790d9b5b8cec,229a0aea-c979-4c06-92cd-8677e7bd6316,Louis,Therese,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(553) 589-9669,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,COO,#N/A,#N/A,#N/A,#N/A,"John Mulligan is executive vice president and chief operating officer for Target and a member of its executive leadership team. His responsibilities include stores, Target’s global supply chain, merchandising operations, properties and flight services.",#N/A,#N/A,#N/A
0786bfa0-37f0-4ac9-8019-e7780e472c80,94109c96-c38a-4c09-aac4-d3fb8778b335,Stanleigh,Melina,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,50 Kerra Way,Docklands,VIC,3008,Australia,#N/A,#N/A,#N/A,(03) 7133 8494,(03) 7133 8494,0420 873 677,#N/A,#N/A,(03) 7133 8494,nitish.madan@nagarro.com,General Counsel,Legal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09f91d8f-8590-41de-9a8d-d71ca3564b87,d5154e81-89a1-4a3b-a970-4a60245f5132,Isacco,Guinevere,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4 Yawkey Way,Boston,MA,2215,USA,#N/A,#N/A,#N/A,(996) 657-2283,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,Head of Operations & Technology,#N/A,#N/A,#N/A,#N/A,"Mr. Callahan manages global Operations & Technology at Citi. He is the Executive Chair of the Chief Information Officer Council, which sets global standards for all technology throughout Citi, and leads the Digital Governance Office, which drives digital transformation across Citi's businesses. Mr. Callahan is also responsible for developing and implementing Citi's global information security strategy.",#N/A,#N/A,#N/A
8cad519f-1e7c-49de-bdf0-0951a39fb4b9,2d7d4628-1dbf-4d8b-84d7-02793096e9ad,Phip,Milli,#N/A,#N/A,#N/A,#N/A,2347,#N/A,#N/A,#N/A,#N/A,32 Railway Street,CARODA,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4073,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
26de6400-6566-452d-bb1a-1a91098dee6b,d9e79863-e6a3-48c7-ab78-42d550399e9a,Harland,Kayley,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(339) 279-0378,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,"EVP, Secretary and General Counsel",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
93189dfa-8879-44ca-8878-d01a3f221179,6aadbb54-a0c9-4223-8fe0-b7ae8297d947,Port,Sioux,#N/A,#N/A,#N/A,#N/A,2454,#N/A,#N/A,#N/A,#N/A,32 Railway Street,KALANG,NSW,#N/A,Australia,#N/A,#N/A,#N/A,(03) 5338 4070,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CEO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0b77200f-8262-40e3-8934-f34c075aed0f,af50583b-0637-4b81-8424-b0537cd29c57,Levey,Maris,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,97 Gordon Terrace,BARTON BENDISH,#N/A,PE33 1YD,UK,#N/A,#N/A,#N/A,74 4352 5277,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CFO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ae888325-459e-42ab-b15b-933bfda52ff2,af50583b-0637-4b81-8424-b0537cd29c57,Abey,Alie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,+44 20 5678 9900,#N/A,#N/A,#N/A,#N/A,#N/A,nitish.madan@nagarro.com,CIO,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
